ID_REF;a;b;c;d;e;f;g;h;i
ILMN_1689294;8.13592;7.66831;7.60229;8.01279;7.80117;7.37131;7.31122;7.46902;7.31028
ILMN_1689296;7.88422;7.49701;7.2653;7.79382;7.49033;7.40257;7.72859;7.49589;7.33678
ILMN_1689306;7.06395;7.29169;7.17925;7.23847;7.28281;7.00831;7.3162;7.44283;7.14381
ILMN_1689315;6.86384;6.88189;6.91491;6.82491;6.96144;6.87604;6.93204;6.8458;6.91006
ILMN_1689318;9.31051;9.63709;10.6023;9.36;10.4903;10.9649;9.35719;10.1983;10.4673
ILMN_1689324;6.83497;6.74226;6.99561;6.83621;6.86429;6.78596;6.88708;6.9795;6.87545
ILMN_1689327;13.2143;13.3673;13.0193;13.2972;13.6083;13.3834;13.336;13.649;13.0613
ILMN_1689329;12.3613;12.6585;12.0109;12.6607;13.3987;12.0585;12.685;12.7903;12.7903
ILMN_1689336;6.78132;6.9417;7.77807;6.92995;6.80646;7.99711;6.85427;7.02193;8.22187
ILMN_1689342;8.33922;8.30116;8.73484;8.25989;8.85537;8.57175;8.27884;8.54126;8.58536
ILMN_1689350;7.03365;6.7976;6.9857;7.0206;6.8739;6.83302;6.84098;6.87543;6.97565
ILMN_1689353;6.9927;6.79756;7.05842;6.90746;6.93199;6.7301;7.11923;6.97257;7.15459
ILMN_1689357;7.03935;7.06161;6.8763;6.97932;7.11616;6.96858;7.05221;7.10533;7.14153
ILMN_1689365;6.82513;6.81834;6.60746;6.87424;6.71392;6.82721;6.95078;6.82239;6.97298
ILMN_1689371;6.9103;6.94171;7.23482;6.89576;7.04091;7.0422;6.87577;6.9959;7.07802
ILMN_1689378;9.86463;8.8983;7.83449;9.62064;8.50867;7.90316;9.73709;8.70026;7.61789
ILMN_1689380;6.83655;6.97456;6.79505;7.01812;7.25195;6.79034;7.06219;7.00511;6.94085
ILMN_1689389;11.3539;11.3422;11.8319;11.1232;10.9058;11.3514;11.0604;11.6381;11.1776
ILMN_1689400;8.2974;8.36773;8.15476;8.29559;7.95546;8.92166;8.33027;8.78241;9.02313
ILMN_1689420;7.13958;6.87383;6.92601;6.85953;6.97865;6.87163;7.14376;7.02533;7.03701
ILMN_1689425;6.85629;6.97028;6.95863;6.86112;6.87344;6.87952;7.1082;6.97237;6.83763
ILMN_1689426;6.66175;6.87372;6.76896;7.00358;7.02743;6.78722;6.77636;6.64522;6.89117
ILMN_1689427;6.85384;6.93125;6.88238;6.91523;6.84589;6.98231;7.05528;7.00862;6.84471
ILMN_1689431;8.07368;9.10332;7.30435;8.12798;9.82608;7.19267;7.7906;8.72601;7.42677
ILMN_1689432;7.00242;6.86244;6.79362;6.98335;6.82883;6.98926;6.93129;6.8617;6.94298
ILMN_1689438;7.10072;7.07906;7.19997;6.9582;6.96749;7.03085;6.75999;6.99909;6.99071
ILMN_1689445;11.2116;11.1027;10.282;11.0911;10.1354;10.6416;11.3075;11.1989;11.0001
ILMN_1689446;11.4153;11.2018;11.2202;11.402;11.2559;10.9674;11.3589;10.9441;11.4299
ILMN_1689456;6.95467;7.07945;8.05146;7.16312;7.37472;7.8796;7.19319;7.06122;8.30926
ILMN_1689461;6.82706;6.81457;7.06579;6.80027;7.03836;6.89335;6.90629;6.99948;6.77293
ILMN_1689473;7.41241;7.25992;7.28242;7.35513;8.22012;7.50176;7.02175;7.31627;7.10364
ILMN_1689474;7.33809;7.27395;7.8088;7.42601;7.83921;7.52748;7.55947;7.43295;7.53927
ILMN_1689475;6.78884;6.87545;6.99713;6.89411;6.90436;6.94678;6.98256;6.81074;6.77895
ILMN_1689482;7.10518;7.04375;7.09231;6.94545;6.93203;6.95572;7.07417;6.90052;7.06055
ILMN_1689484;6.91071;6.89532;6.8688;6.81549;7.3423;6.8977;7.02025;7.00186;6.93506
ILMN_1689510;6.85995;6.83826;7.011;6.81169;7.1501;6.84742;6.81135;6.91425;6.95606
ILMN_1689515;6.78878;6.87468;6.90836;6.9555;6.94545;6.8025;6.88677;7.01475;6.87324
ILMN_1689518;7.25647;7.15328;7.28837;7.39962;7.21548;7.19228;7.10218;7.33504;7.60457
ILMN_1689525;8.45715;8.08878;6.92655;8.44028;7.49565;6.97717;8.83214;8.33604;6.95963
ILMN_1689528;7.45289;7.55144;7.57615;7.52664;8.1339;7.54298;7.40346;7.80559;7.66781
ILMN_1689552;8.41589;8.34172;8.51999;8.61745;8.16969;8.52747;8.56791;8.27784;8.98917
ILMN_1689560;7.09569;7.18968;7.09697;7.20906;6.98715;7.13538;7.33837;7.15987;7.13636
ILMN_1689565;6.91158;7.08682;6.89633;6.87291;6.83146;6.90637;6.85097;6.93279;6.85884
ILMN_1689578;7.18522;6.90689;6.82586;7.11116;6.87919;6.99962;6.99918;6.98907;6.94027
ILMN_1689585;7.3545;7.51517;8.19248;7.22542;7.50293;8.08186;7.26209;7.51135;8.03645
ILMN_1689601;6.96561;6.85638;6.96801;6.94901;7.3061;6.95529;6.8159;7.11023;7.03594
ILMN_1689604;7.09302;7.04357;6.95755;7.08937;7.04967;6.85473;6.99462;6.99101;6.7748
ILMN_1689607;6.91515;7.01478;7.19865;7.23247;7.10457;7.19787;7.11176;7.04812;7.03435
ILMN_1689611;6.77822;6.86627;7.03136;6.87766;6.62582;6.84427;6.69241;6.71624;6.61278
ILMN_1689616;7.01718;6.85187;7.04597;7.17167;7.03106;7.03663;7.32447;6.9881;7.20258
ILMN_1689621;6.8165;6.90445;6.86152;6.89487;7.07555;6.82379;7.00167;7.04229;6.7228
ILMN_1689623;7.13276;7.16504;7.18509;7.06124;6.96094;7.01776;7.13935;7.15498;7.00725
ILMN_1689624;7.39199;7.31386;7.27662;7.09502;7.2456;7.3028;7.22286;7.35958;7.19792
ILMN_1689625;6.87051;6.75114;6.66676;6.82856;6.93057;6.90994;6.77834;6.71538;6.87721
ILMN_1689634;6.67289;6.97045;6.99921;6.95805;6.90892;6.91901;7.02151;6.82519;6.84314
ILMN_1689635;6.78373;7.04845;7.09049;6.89592;6.91961;6.94432;6.83009;6.84094;6.95432
ILMN_1689646;7.76415;7.50465;7.27717;7.60457;7.72938;7.10114;7.49742;7.42221;7.16872
ILMN_1689651;6.92178;6.87813;7.09053;7.02713;7.12655;7.04541;6.92856;7.00167;6.90963
ILMN_1689652;10.7663;9.91068;9.3432;10.2499;9.62247;9.39399;10.5489;10.0427;9.49957
ILMN_1689655;7.13862;6.83867;7.06159;7.14236;6.99033;6.84008;7.07067;7.04849;7.06782
ILMN_1689665;12.3126;12.086;11.1951;11.9319;12.3832;11.3791;12.1038;12.5353;11.4227
ILMN_1689675;6.92496;6.84639;6.92449;6.78845;6.71367;6.8036;6.76351;6.78482;6.85468
ILMN_1689699;6.99459;7.28822;7.3102;7.04209;7.02636;7.22989;7.19754;7.1287;7.26734
ILMN_1689700;6.93438;7.04253;6.75981;6.84842;6.91347;6.83327;6.95737;7.11219;6.77088
ILMN_1689701;6.9329;6.8772;6.89924;6.88386;6.92771;7.05023;6.94521;7.01447;6.91188
ILMN_1689702;6.99165;6.90396;6.81663;6.82652;6.93388;7.03323;6.86435;6.82916;6.83046
ILMN_1689704;9.05779;9.69444;10.3842;9.17139;9.6681;10.0266;8.99397;9.2542;9.91429
ILMN_1689710;6.95305;6.74182;7.0412;6.75122;6.92313;6.86732;6.90957;6.76794;6.87797
ILMN_1689711;6.91709;6.94477;7.02078;6.92903;6.85477;6.772;6.90027;7.00462;6.97885
ILMN_1689712;12.6157;12.6068;11.2643;12.8261;10.4625;12.6157;12.8978;13.0302;12.7796
ILMN_1689718;7.03885;6.87761;7.15442;6.85141;6.94132;6.95966;6.88451;6.93724;6.91815
ILMN_1689720;7.87852;7.67667;7.61713;7.5911;7.8054;7.70095;7.66266;7.59577;7.77393
ILMN_1689725;11.6751;11.7181;10.6098;11.6085;9.21226;10.9403;12.1537;12.3334;11.7436
ILMN_1689734;7.09291;6.87782;6.81596;7.07198;7.00903;6.99835;7.05411;7.06853;6.93947
ILMN_1689736;6.95833;6.9783;6.93558;7.04084;6.79145;6.95954;6.99496;7.09154;7.02651
ILMN_1689747;9.33253;9.46017;9.02175;9.41282;9.71769;9.1009;9.26748;9.45875;9.19848
ILMN_1689749;7.18968;7.16441;7.56692;7.07806;7.25245;7.08301;7.11157;7.00652;7.15892
ILMN_1689755;6.83733;6.99512;6.92665;6.96118;6.9419;6.79598;6.77533;6.99818;6.80896
ILMN_1689770;7.24139;6.93828;6.99068;7.12176;7.01684;7.0175;7.05811;7.11018;6.84083
ILMN_1689774;11.1964;11.4438;11.4448;11.0495;11.4153;11.4655;11.1335;11.5376;11.564
ILMN_1689786;8.73876;8.21129;8.66374;8.70891;8.87342;8.50661;8.76507;8.63608;8.30565
ILMN_1689792;6.96368;6.91957;7.05507;6.99611;6.94154;6.90861;7.01176;6.82508;6.93835
ILMN_1689798;7.01551;7.14968;6.80954;7.19629;6.99761;6.9733;7.08626;7.05475;7.16186
ILMN_1689800;9.59463;9.29854;8.59462;9.19512;8.98757;8.47544;9.28692;9.2078;8.52492
ILMN_1689807;7.12704;6.8681;6.80306;6.9229;6.98197;6.79756;6.80089;7.03974;7.04283
ILMN_1689814;7.00988;6.93238;6.97309;6.84812;7.12325;7.24119;6.83466;6.97544;7.45706
ILMN_1689817;8.26809;8.69916;9.032;8.24526;8.83376;9.10025;8.27126;8.63682;9.13359
ILMN_1689828;7.08505;7.39199;7.09562;7.16236;7.50356;7.47207;7.34976;7.22571;7.68737
ILMN_1689829;7.26749;7.42409;7.108;7.32004;7.09105;7.22114;7.56639;7.34211;6.97596
ILMN_1689831;6.99301;7.53431;7.95839;6.93088;7.80559;7.72376;7.07362;7.49939;7.46254
ILMN_1689836;7.10968;6.70954;7.08022;6.79279;6.96595;6.92702;6.87867;7.02461;6.79619
ILMN_1689837;6.89661;7.06305;7.15809;6.77752;6.97773;6.90562;6.86456;6.81435;6.75241
ILMN_1689842;8.52218;8.64959;8.33749;8.93108;8.75938;8.58659;8.48127;8.0299;8.38353
ILMN_1689843;7.04941;6.85928;6.86839;7.01475;6.82597;6.94124;6.87005;7.0819;6.88947
ILMN_1689846;6.74462;6.79043;6.84383;6.64567;6.88023;6.77493;6.78722;6.73284;6.80519
ILMN_1689849;7.19209;6.8407;6.81941;6.96247;6.83379;6.81714;6.83831;6.70743;6.83916
ILMN_1689852;7.12648;6.89084;6.77922;6.95146;6.95635;6.9584;6.79087;7.03243;7.10016
ILMN_1689861;6.7711;6.62366;6.81566;6.72863;6.86301;6.81365;6.74294;6.93097;6.88555
ILMN_1689866;7.07583;7.30618;7.26538;7.24477;7.17033;7.21512;6.93287;7.1097;7.27905
ILMN_1689868;7.80303;7.70226;7.95597;7.73631;7.73793;7.86889;7.7897;7.82642;7.94086
ILMN_1689869;7.57906;7.65497;7.14364;7.56751;7.19262;7.69109;7.60809;7.67887;7.36038
ILMN_1689871;6.81449;6.97768;6.92119;6.73151;6.82514;6.98543;6.89523;6.84633;6.83776
ILMN_1689874;6.93127;6.87184;8.59026;6.70246;7.7811;8.08827;6.64638;7.17045;7.92224
ILMN_1689876;7.27728;7.09188;7.02189;6.96262;7.22439;7.14334;7.22381;6.91939;7.2264
ILMN_1689897;6.98671;7.34331;6.92606;7.02705;7.85705;7.06436;7.16105;7.27614;7.11085
ILMN_1689899;7.08415;7.16835;7.13731;7.19293;6.88773;7.1039;7.1335;7.09796;7.16443
ILMN_1689901;7.31633;7.39396;7.12674;7.2643;7.28353;7.31499;7.3389;7.2461;7.44576
ILMN_1689908;8.93866;9.74071;9.31251;8.78716;9.62102;9.35476;8.77968;9.87064;9.5218
ILMN_1689915;6.84632;6.97489;7.09634;7.05772;7.06017;6.74429;7.0052;6.87398;6.83548
ILMN_1689932;7.34193;7.48492;7.32246;7.36969;7.34669;7.33169;7.44656;7.27582;7.31854
ILMN_1689936;7.06707;6.82709;6.74294;6.93722;6.93708;6.93085;6.95566;7.01764;6.86549
ILMN_1689952;7.05534;6.76379;6.80738;6.93259;6.85232;6.6821;7.03287;6.8852;6.91508
ILMN_1689953;13.5321;13.7689;14.0826;13.6795;14.2624;13.8991;13.605;13.4967;13.719
ILMN_1689965;6.93847;7.06897;6.93886;7.09941;6.98946;7.0838;6.97265;6.95112;6.84476
ILMN_1689968;7.50191;7.49351;7.27873;7.57638;7.38116;7.35294;7.80612;7.57859;7.39524
ILMN_1689970;6.84467;7.05704;7.04128;7.03636;7.18953;6.96811;7.20614;6.84677;6.98959
ILMN_1689972;7.48218;7.79858;7.54714;7.66266;7.28999;7.28815;7.59964;7.55786;7.5167
ILMN_1689976;7.70095;7.19595;7.10142;7.59656;7.1333;7.44797;7.558;7.22072;7.39679
ILMN_1689989;8.42769;8.60285;8.75342;8.63768;8.98593;8.35556;8.73841;8.318;8.82045
ILMN_1690004;7.24544;6.91578;7.06688;6.91536;6.83363;6.89873;7.13506;7.02438;6.98312
ILMN_1690017;7.13586;7.18273;6.79143;7.10783;7.18768;7.06985;7.20886;7.25895;6.97176
ILMN_1690021;6.96452;6.94851;7.15623;6.99251;7.04897;7.07878;7.0945;7.14903;6.96302
ILMN_1690031;7.1072;7.18648;6.94861;7.2729;6.90666;7.09425;7.03962;7.06876;7.19689
ILMN_1690034;6.98904;6.7844;6.96063;6.85637;6.94841;6.99142;6.96058;6.927;6.90103
